trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
933,False,"{'a': 0.1, 'e': 0.49949583961801347}",20,10,-20.462950311909974,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
934,False,"{'a': 0.1, 'e': 0.5834877556188933}",30,0,-86.83113246730285,"{0: 23, 1: 2, 2: 1, 3: 3, 4: 1}",1
935,False,"{'a': 0.1, 'e': 0.6616496548410261}",25,0,-219.2280802576394,"{0: 14, 1: 1, 2: 5, 3: 1, 4: 4}",0
936,False,"{'a': 0.1, 'e': 0.7332005694242856}",20,7,-16.244018975260182,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 0}",1
937,False,"{'a': 0.1, 'e': 0.7974255862817522}",25,17,-67.98597434413911,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
938,False,"{'a': 0.1, 'e': 0.8536829902749359}",20,0,-82.21419492240287,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
939,False,"{'a': 0.1, 'e': 0.9014106760193782}",20,0,-162.66639381068114,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
940,False,"{'a': 0.1, 'e': 0.9401317642557823}",20,8,-1.060165486768489,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
941,False,"{'a': 0.1, 'e': 0.9694593666699876}",30,0,-159.1558710394644,"{0: 16, 1: 5, 2: 7, 3: 0, 4: 2}",0
942,False,"{'a': 0.1, 'e': 0.98910045155309}",20,0,-68.13549931688308,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
943,False,"{'a': 0.1, 'e': 0.9988587716774113}",25,0,-194.57218904390604,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
944,False,"{'a': 0.1, 'e': 0.998636825133944}",25,0,-170.19312716554,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
945,False,"{'a': 0.1, 'e': 0.9884368295391845}",20,0,-60.947146852695916,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
946,False,"{'a': 0.1, 'e': 0.9683606998774463}",25,0,-118.46236410042233,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
947,False,"{'a': 0.1, 'e': 0.9386090302000182}",25,0,-94.63002905065292,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
948,False,"{'a': 0.1, 'e': 0.8994790893557311}",25,0,-143.90067346192066,"{0: 14, 1: 4, 2: 4, 3: 1, 4: 2}",0
949,False,"{'a': 0.1, 'e': 0.8513618507788512}",25,12,-10.407638029265017,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
950,False,"{'a': 0.1, 'e': 0.7947380860118081}",30,0,-211.26301766130044,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
951,False,"{'a': 0.1, 'e': 0.7301735609948197}",35,14,14.901962707446295,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
952,False,"{'a': 0.1, 'e': 0.6583133831196504}",20,5,-20.952826189890498,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
953,False,"{'a': 0.1, 'e': 0.5798755555298326}",20,3,-38.59414536277648,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 0}",1
954,False,"{'a': 0.1, 'e': 0.495643803070523}",25,13,-19.91724120672906,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
955,False,"{'a': 0.1, 'e': 0.4064597415690034}",25,9,4.104842245212618,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
956,False,"{'a': 0.1, 'e': 0.31321446868745406}",25,1,4.57513931807142,"{0: 20, 1: 3, 2: 1, 3: 0, 4: 0}",1
957,False,"{'a': 0.1, 'e': 0.21683966036970423}",20,0,-9.969988204120387,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
958,False,"{'a': 0.1, 'e': 0.118298261843216}",25,19,10.865188921107729,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
